#{"t_start": 1744472488.0198474, "env_id": "None"}
r,l,t
-344.06648,100,2.756555
115.360883,27,3.605938
-185.286372,100,6.653647
-99.988542,84,9.186869
-10.79125,92,11.969923
-167.895015,100,15.001012
170.239666,19,15.631309
-126.938822,100,19.08437
-146.691756,100,22.514857
179.629841,10,22.908488
116.040037,35,24.150322
126.499993,28,25.154012
-138.598416,100,28.61208
-247.946191,100,32.083033
199.0,1,32.16804
-92.270667,100,35.692285
199.0,1,35.782606
-205.13569,100,39.309303
-132.244086,100,42.790026
196.407448,3,42.967349
111.977276,36,44.28484
199.0,1,44.383632
-207.817669,100,47.897125
-180.166983,100,51.391396
199.0,1,51.465533
144.924013,38,52.889447
184.273049,11,53.317269
-74.620826,100,56.859236
37.533261,93,60.115629
150.233594,33,61.280886
59.112032,82,64.108844
-102.858413,100,67.563693
193.281389,5,67.797954
186.552427,10,68.233703
199.0,1,68.330731
159.999354,29,69.47756
199.0,1,69.593308
-187.953344,100,73.248883
-120.45583,100,76.689177
-193.030096,100,80.223413
192.094278,7,80.519554
49.819504,46,82.239655
191.690638,7,82.533742
-193.82395,100,86.079034
199.0,1,86.177331
199.0,1,86.277923
-177.841289,100,89.783083
199.0,1,89.876846
-202.479061,100,93.367004
199.0,1,93.456883
193.335618,6,93.736589
-169.482478,100,97.26721
-199.118549,100,100.783987
199.0,1,100.886798
-546.131129,100,104.478658
-382.803533,100,107.949603
196.615228,3,108.114282
199.0,1,108.211964
-368.256645,100,111.714025
199.0,1,111.810986
197.883419,2,111.934874
199.0,1,112.027648
173.707566,21,112.817246
195.51945,4,113.002473
199.0,1,113.080313
-365.600582,100,116.534026
-181.250765,100,120.096308
-170.702273,100,123.619213
199.0,1,123.727655
196.690919,3,123.896255
-311.474583,100,127.333665
199.0,1,127.430225
191.437047,7,127.722399
190.091585,8,128.055365
197.811429,2,128.18269
193.121665,6,128.455055
199.0,1,128.561543
-213.088794,100,132.135313
-296.69422,100,135.672131
199.0,1,135.7589
-196.995016,100,139.30119
-315.002267,100,142.853401
199.0,1,142.934716
199.0,1,143.027991
191.785248,7,143.329403
-168.765538,100,146.863768
199.0,1,146.949742
191.498563,7,147.243607
-277.027639,100,150.757492
199.0,1,150.84897
-133.446986,100,154.371013
196.636085,3,154.50694
199.0,1,154.583356
-264.986296,100,158.049897
-9.224751,60,160.166221
199.0,1,160.266253
-193.432648,100,163.774575
197.857798,2,163.907788
49.670196,62,166.100987
199.0,1,166.195845
199.0,1,166.27414
199.0,1,166.373558
194.859892,4,166.572593
199.0,1,166.665013
196.689022,3,166.83441
199.0,1,166.906925
199.0,1,167.015175
199.0,1,167.114554
168.222542,14,167.651094
145.725094,38,168.995939
199.0,1,169.098855
197.860246,2,169.216416
199.0,1,169.316932
199.0,1,169.414314
197.599626,2,169.546337
148.022802,29,170.615817
199.0,1,170.699274
112.006124,65,172.978133
197.86245,2,173.104984
195.018825,4,173.28654
194.032236,5,173.495521
196.593121,3,173.660519
199.0,1,173.765501
197.863136,2,173.892088
199.0,1,173.962816
196.464793,3,174.133226
199.0,1,174.229162
199.0,1,174.317123
199.0,1,174.415921
199.0,1,174.515549
194.419186,5,174.741595
199.0,1,174.816896
197.796414,2,174.941024
199.0,1,175.03483
186.522286,11,175.469601
197.880721,2,175.585606
196.702706,3,175.769792
188.892887,9,176.105408
199.0,1,176.21544
199.0,1,176.315403
196.647857,3,176.499215
181.511333,14,177.038603
194.450978,5,177.263997
189.32713,9,177.632491
187.328187,10,178.023076
199.0,1,178.132138
199.0,1,178.229846
194.725925,4,178.432716
199.0,1,178.524421
197.874053,2,178.681431
199.0,1,178.779192
199.0,1,178.882119
199.0,1,178.984565
199.0,1,179.078082
199.0,1,179.179274
199.0,1,179.276928
199.0,1,179.378857
184.66705,12,179.857019
170.612163,24,180.733434
197.868098,2,180.845234
199.0,1,180.948197
197.798781,2,181.082466
199.0,1,181.182073
196.361737,3,181.327482
199.0,1,181.428004
195.608548,4,181.622276
199.0,1,181.696307
197.881347,2,181.833232
199.0,1,181.924402
191.99533,7,182.233081
199.0,1,182.314178
199.0,1,182.414973
199.0,1,182.514878
199.0,1,182.6154
199.0,1,182.715394
196.621403,3,182.880339
199.0,1,182.973803
199.0,1,183.082106
199.0,1,183.182125
196.736369,3,183.322686
199.0,1,183.432952
199.0,1,183.525848
199.0,1,183.631401
199.0,1,183.729682
195.458152,4,183.935513
196.705976,3,184.106116
197.891614,2,184.218072
197.89689,2,184.35928
196.706173,3,184.540336
197.876256,2,184.675904
194.113332,5,184.909012
197.88938,2,185.015399
199.0,1,185.099117
197.787387,2,185.253538
197.766841,2,185.37283
195.598221,4,185.566708
199.0,1,185.650069
196.462303,3,185.802083
199.0,1,185.896423
197.875274,2,186.021515
191.501839,7,186.321787
197.845277,2,186.455115
197.826928,2,186.56567
197.778438,2,186.688382
194.390215,5,186.933299
199.0,1,187.015921
196.692631,3,187.20894
199.0,1,187.283768
197.898154,2,187.402796
199.0,1,187.490859
199.0,1,187.600307
195.383417,4,187.790992
197.868167,2,187.926018
191.545594,7,188.219515
199.0,1,188.30104
197.868289,2,188.436632
199.0,1,188.51514
199.0,1,188.617106
199.0,1,188.717223
199.0,1,188.804417
199.0,1,188.900143
197.818606,2,189.012692
197.89001,2,189.133736
199.0,1,189.216709
197.821695,2,189.337937
197.764982,2,189.466218
199.0,1,189.576958
196.300344,3,189.750459
199.0,1,189.848914
199.0,1,189.948122
199.0,1,190.044476
199.0,1,190.144709
199.0,1,190.248021
199.0,1,190.332063
197.89883,2,190.450319
199.0,1,190.552094
199.0,1,190.632358
197.866679,2,190.758325
199.0,1,190.862351
196.644846,3,191.036585
199.0,1,191.113594
199.0,1,191.216969
199.0,1,191.297402
197.871871,2,191.411191
196.729148,3,191.586791
192.933068,6,191.848874
199.0,1,191.94361
199.0,1,192.010751
196.699743,3,192.159612
199.0,1,192.260597
199.0,1,192.365676
199.0,1,192.444646
199.0,1,192.551296
197.863058,2,192.672844
199.0,1,192.763923
197.853759,2,192.886905
197.843667,2,193.016374
194.47471,5,193.239003
199.0,1,193.316731
199.0,1,193.414296
199.0,1,193.50755
197.74793,2,193.644267
195.64858,4,193.857501
199.0,1,193.93023
199.0,1,194.012739
199.0,1,194.114106
196.720118,3,194.268768
192.043777,7,194.572989
197.811339,2,194.675042
197.884438,2,194.814461
199.0,1,194.914555
197.887061,2,195.046954
195.453935,4,195.24973
199.0,1,195.332519
197.871819,2,195.458783
199.0,1,195.562584
199.0,1,195.664653
197.894716,2,195.835669
199.0,1,195.934733
197.764744,2,196.05072
199.0,1,196.131311
199.0,1,196.227002
196.721689,3,196.358364
197.870118,2,196.461854
194.421413,5,196.68329
194.459386,5,196.918774
197.636681,2,197.023609
191.557761,7,197.317745
194.201611,5,197.533764
196.752058,3,197.684158
197.849492,2,197.800282
196.648945,3,197.950263
196.440136,3,198.101162
197.866697,2,198.21808
197.768767,2,198.352018
199.0,1,198.433676
199.0,1,198.532337
199.0,1,198.612036
194.181662,5,198.852885
196.733891,3,199.000582
196.545109,3,199.162824
199.0,1,199.264601
199.0,1,199.362391
199.0,1,199.45865
199.0,1,199.536491
197.869891,2,199.677075
197.874591,2,199.783151
197.884279,2,199.901061
199.0,1,200.002763
199.0,1,200.10221
199.0,1,200.200001
193.242683,6,200.490743
199.0,1,200.574047
199.0,1,200.657495
197.762262,2,200.781958
199.0,1,200.864545
188.003342,10,201.248807
199.0,1,201.322184
196.70877,3,201.491375
197.756376,2,201.591172
199.0,1,201.662748
192.065017,7,201.949011
197.810757,2,202.061775
197.791871,2,202.1668
199.0,1,202.24892
199.0,1,202.331874
199.0,1,202.415066
195.609194,4,202.586755
199.0,1,202.694715
199.0,1,202.793857
199.0,1,202.89453
197.889737,2,203.013267
197.861463,2,203.134379
199.0,1,203.191118
199.0,1,203.300359
199.0,1,203.39051
197.729345,2,203.501137
199.0,1,203.576382
197.884392,2,203.65881
199.0,1,203.729149
197.876706,2,203.868484
199.0,1,203.938647
197.864967,2,204.065933
197.707619,2,204.191402
199.0,1,204.246531
199.0,1,204.350516
199.0,1,204.414674
197.893527,2,204.557452
199.0,1,204.634278
199.0,1,204.729759
199.0,1,204.833107
199.0,1,204.91241
199.0,1,205.012054
199.0,1,205.096932
199.0,1,205.192516
199.0,1,205.26315
199.0,1,205.363311
196.708763,3,205.534315
196.637404,3,205.676403
195.479046,4,205.870539
196.661465,3,206.011724
199.0,1,206.083715
196.528284,3,206.282909
196.733483,3,206.426481
197.855888,2,206.530383
199.0,1,206.609913
195.348318,4,206.776153
199.0,1,206.875485
197.825423,2,206.985218
196.731001,3,207.134623
199.0,1,207.211918
199.0,1,207.313651
199.0,1,207.41459
190.850856,8,207.731802
196.679894,3,207.880254
199.0,1,207.955544
199.0,1,208.060339
197.692278,2,208.157006
199.0,1,208.222167
197.869187,2,208.325603
196.761251,3,208.456708
199.0,1,208.535294
199.0,1,208.606044
199.0,1,208.681206
199.0,1,208.808692
199.0,1,208.881248
199.0,1,208.984524
199.0,1,209.063656
199.0,1,209.160271
199.0,1,209.210703
199.0,1,209.294827
199.0,1,209.376428
199.0,1,209.444931
199.0,1,209.525447
192.989669,6,209.752234
196.711217,3,209.893604
194.235498,5,210.143676
199.0,1,210.251901
190.683566,8,210.575827
199.0,1,210.655688
197.897687,2,210.749109
195.475581,4,210.925275
199.0,1,210.995526
196.721667,3,211.163454
197.877141,2,211.281023
196.629033,3,211.431236
197.860145,2,211.549995
197.75899,2,211.690009
199.0,1,211.796569
197.823483,2,211.923876
197.887861,2,212.022805
194.288202,5,212.240829
199.0,1,212.318552
199.0,1,212.394662
197.650355,2,212.535012
197.817698,2,212.653964
197.885776,2,212.764627
195.505796,4,212.959903
196.695243,3,213.078189
197.856357,2,213.196056
199.0,1,213.294633
196.702974,3,213.466491
199.0,1,213.532371
199.0,1,213.60743
193.219192,6,213.83122
199.0,1,213.933191
197.888541,2,214.046438
199.0,1,214.148925
197.826874,2,214.258709
199.0,1,214.327748
199.0,1,214.426682
199.0,1,214.534161
199.0,1,214.626238
199.0,1,214.715529
199.0,1,214.799283
190.516864,8,215.113141
195.490539,4,215.291885
197.818502,2,215.420478
192.76274,6,215.635288
199.0,1,215.713061
196.687437,3,215.873718
199.0,1,215.946624
199.0,1,216.038814
199.0,1,216.094834
199.0,1,216.192901
199.0,1,216.258628
193.02683,6,216.504213
199.0,1,216.562046
199.0,1,216.661208
199.0,1,216.743005
199.0,1,216.842602
199.0,1,216.91103
196.635625,3,217.057203
199.0,1,217.130894
199.0,1,217.186375
197.883449,2,217.279176
197.888445,2,217.392947
199.0,1,217.472177
199.0,1,217.526583
199.0,1,217.596829
196.73655,3,217.741223
199.0,1,217.80974
199.0,1,217.905423
199.0,1,217.976631
199.0,1,218.046492
196.698737,3,218.178797
196.636999,3,218.329281
197.891863,2,218.426661
199.0,1,218.497639
194.453581,5,218.702806
197.795373,2,218.793095
190.846547,8,219.116772
197.878018,2,219.233361
196.565017,3,219.361601
199.0,1,219.425816
199.0,1,219.498186
196.748759,3,219.639875
197.877384,2,219.741222
196.696334,3,219.85738
196.624406,3,219.992228
197.883827,2,220.098421
199.0,1,220.171633
199.0,1,220.272004
199.0,1,220.362797
199.0,1,220.445085
197.782393,2,220.541097
197.887929,2,220.642891
199.0,1,220.696862
197.858091,2,220.824708
199.0,1,220.896154
199.0,1,220.976809
197.894731,2,221.094397
196.751721,3,221.239222
197.868935,2,221.343368
195.385676,4,221.534451
195.504047,4,221.714481
196.736233,3,221.848908
196.750493,3,221.978789
197.840139,2,222.089385
197.865758,2,222.227063
197.851953,2,222.344364
199.0,1,222.442772
199.0,1,222.523984
195.458398,4,222.71783
199.0,1,222.785454
199.0,1,222.869486
199.0,1,222.942684
199.0,1,223.045197
199.0,1,223.149625
199.0,1,223.228504
199.0,1,223.315176
197.891074,2,223.455622
199.0,1,223.545154
197.888623,2,223.644126
199.0,1,223.727779
194.372584,5,223.943215
194.019787,5,224.158721
199.0,1,224.246437
196.715311,3,224.387068
197.860285,2,224.494677
197.827438,2,224.631012
196.628787,3,224.800593
195.61604,4,224.980313
197.806769,2,225.093171
199.0,1,225.149857
199.0,1,225.261049
196.645082,3,225.416973
196.785561,3,225.57197
196.739347,3,225.728029
194.283387,5,225.942739
196.670391,3,226.100258
199.0,1,226.174759
197.836263,2,226.302923
199.0,1,226.389033
199.0,1,226.455981
199.0,1,226.548306
197.890605,2,226.664479
196.474675,3,226.816987
199.0,1,226.898085
199.0,1,226.957036
199.0,1,227.049668
199.0,1,227.134098
197.782909,2,227.239341
197.823181,2,227.345642
197.858853,2,227.46541
199.0,1,227.566817
199.0,1,227.647789
199.0,1,227.734515
196.693164,3,227.866426
197.804407,2,227.97869
197.827704,2,228.096892
194.25165,5,228.337022
199.0,1,228.414722
199.0,1,228.491023
199.0,1,228.579433
196.633835,3,228.725558
199.0,1,228.784184
197.890435,2,228.899586
197.884018,2,229.01259
199.0,1,229.091434
199.0,1,229.161429
195.528989,4,229.368186
199.0,1,229.442645
197.878666,2,229.547743
199.0,1,229.632685
199.0,1,229.710759
196.736287,3,229.865907
197.832174,2,229.95432
197.886339,2,230.082293
199.0,1,230.153923
199.0,1,230.231101
199.0,1,230.308661
199.0,1,230.392379
195.45804,4,230.590565
199.0,1,230.650082
197.847874,2,230.759981
195.537198,4,230.923949
191.918445,7,231.177518
199.0,1,231.251054
199.0,1,231.331095
199.0,1,231.393785
199.0,1,231.478993
199.0,1,231.562018
199.0,1,231.645154
199.0,1,231.73323
199.0,1,231.815441
194.411229,5,232.038452
193.132246,6,232.312289
199.0,1,232.379249
199.0,1,232.46959
197.83915,2,232.568351
197.779492,2,232.699236
197.8362,2,232.798717
197.839085,2,232.900276
199.0,1,232.966098
199.0,1,233.065332
199.0,1,233.147765
199.0,1,233.231091
196.735841,3,233.358237
196.728194,3,233.509899
197.860299,2,233.606749
197.839708,2,233.699619
199.0,1,233.777076
197.897779,2,233.874437
199.0,1,233.948526
191.897986,7,234.230784
195.593182,4,234.408857
199.0,1,234.497246
199.0,1,234.565023
197.800986,2,234.665826
197.299291,2,234.781047
199.0,1,234.839268
199.0,1,234.952951
197.886469,2,235.070627
199.0,1,235.145726
197.815452,2,235.265673
199.0,1,235.348155
199.0,1,235.430437
199.0,1,235.529184
199.0,1,235.616304
195.580048,4,235.78308
197.88136,2,235.88289
199.0,1,235.947739
199.0,1,236.033029
199.0,1,236.099702
197.858493,2,236.200008
199.0,1,236.280432
193.329542,6,236.518436
189.497355,9,236.854546
199.0,1,236.923708
199.0,1,237.015876
197.812643,2,237.128751
195.654424,4,237.287788
197.819759,2,237.425909
197.849802,2,237.533534
196.714101,3,237.688211
197.845926,2,237.803664
197.839665,2,237.916786
197.738398,2,238.029285
194.152203,5,238.221684
195.318944,4,238.403357
197.852812,2,238.513563
199.0,1,238.578773
197.898597,2,238.678663
195.507362,4,238.850943
193.310976,6,239.102654
199.0,1,239.181993
199.0,1,239.258829
194.418037,5,239.476375
193.139933,6,239.721848
